target     ,  version    ,  current, url                                                                                           , dirname                  , srcdir                  ,    standard_switch, double_switch, shared_object
mf6        ,  6.6.3      ,  True   , https://github.com/MODFLOW-ORG/modflow6/releases/download/6.6.3/mf6.6.3_linux.zip             , mf6.6.3_linux            , src                     ,    True           , False        , False
zbud6      ,  6.6.3      ,  True   , https://github.com/MODFLOW-ORG/modflow6/releases/download/6.6.3/mf6.6.3_linux.zip             , mf6.6.3_linux            , utils/zonebudget/src    ,    True           , False        , False
libmf6     ,  6.6.3      ,  True   , https://github.com/MODFLOW-ORG/modflow6/releases/download/6.6.3/mf6.6.3_linux.zip             , mf6.6.3_linux            , srcbmi                  ,    True           , False        , True
mp7        ,  7.2.001    ,  True   , https://water.usgs.gov/water-resources/software/MODPATH/modpath_7_2_001.zip                   , modpath_7_2_001          , source                  ,    True           , False        , False
mt3dms     ,  5.3.0      ,  True   , https://github.com/MODFLOW-ORG/mt3dms/releases/download/2.0/mt3dms-2.0.zip                    , mt3dms-2.0               , true-binary             ,    True           , False        , False
mt3dusgs   ,  1.1.0      ,  True   , https://github.com/MODFLOW-ORG/mt3d-usgs/releases/download/1.1.0/mt3dusgs1.1.0.zip            , mt3dusgs1.1.0            , src                     ,    True           , False        , False
vs2dt      ,  3.3        ,  True   , https://water.usgs.gov/water-resources/software/VS2DI/vs2dt3_3.zip                            , vs2dt3_3                 , include                 ,    True           , False        , False
triangle   ,  1.6        ,  True   , https://github.com/MODFLOW-ORG/triangle/releases/download/v1.6/triangle_source.zip            , .                        , src                     ,    True           , False        , False
gridgen    ,  1.0.02     ,  True   , https://github.com/MODFLOW-ORG/gridgen/releases/download/v1.0.02/gridgen_source.zip           , .                        , src                     ,    True           , False        , False
crt        ,  1.3.1      ,  True   , https://water.usgs.gov/ogw/CRT/CRT_1.3.1.zip                                                  , CRT_1.3.1                , SOURCE                  ,    True           , False        , False
sutra      ,  4.0        ,  True   , https://water.usgs.gov/water-resources/software/sutra/4.0/SUTRA_4_0_0.zip                     , SutraSuite               , SUTRA_4_0/source        ,    True           , False        , False
mf2000     ,  1.19.01    ,  True   , https://water.usgs.gov/nrp/gwsoftware/modflow2000/mf2k1_19_01.tar.gz                          , mf2k.1_19                , src                     ,    True           , False        , False
mf2005     ,  1.12.00    ,  True   , https://github.com/MODFLOW-ORG/mf2005/releases/download/v.1.12.00/MF2005.1_12u.zip            , MF2005.1_12u             , src                     ,    True           , False        , False
mfusg      ,  1.5        ,  True   , https://github.com/MODFLOW-ORG/mfusg/releases/download/v1.5.00/mfusg1_5.zip                   , mfusg1_5                 , src                     ,    True           , False        , False
zonbudusg  ,  1.01       ,  True   , https://github.com/MODFLOW-ORG/zonbudusg/releases/download/v1.01/zonbudusg_source.zip         , .                        , src                     ,    True           , False        , False
swtv4      ,  4.00.05    ,  True   , https://water.usgs.gov/water-resources/software/SEAWAT/swt_v4_00_05.zip                       , swt_v4_00_05             , source                  ,    False          , True         , False
mp6        ,  6.0.1      ,  True   , https://water.usgs.gov/water-resources/software/MODPATH/modpath.6_0_01.zip                    , modpath.6_0              , src                     ,    True           , False        , False
mflgr      ,  2.0.0      ,  True   , https://water.usgs.gov/ogw/modflow-lgr/modflow-lgr-v2.0.0/mflgrv2_0_00.zip                    , mflgr.2_0                , src                     ,    True           , False        , False
zonbud     ,  3.01       ,  True   , https://github.com/MODFLOW-ORG/zonbud/releases/download/v3.01/zonbud_source.zip               , .                        , src                     ,    True           , False        , False
mfnwt1.1.4 ,  1.1.4      ,  False  , https://water.usgs.gov/water-resources/software/MODFLOW-NWT/MODFLOW-NWT_1.1.4.zip             , MODFLOW-NWT_1.1.4        , src                     ,    True           , False        , False
mfnwt      ,  1.3.0      ,  True   , https://water.usgs.gov/water-resources/software/MODFLOW-NWT/MODFLOW-NWT_1.3.0.zip             , MODFLOW-NWT              , src                     ,    True           , False        , False
mfusg_gsi  ,  2.6.0      ,  True   , https://github.com/MODFLOW-ORG/mfusgt/releases/download/v2.6.0/mfusgt_source.zip              , .                        , src                     ,    True           , False        , False
mf6dev     ,  6.7.0.dev3 ,  False  , https://github.com/MODFLOW-ORG/modflow6/archive/refs/heads/develop.zip                        , modflow6-develop         , src                     ,    True           , False        , False
zbud6dev   ,  6.7.0.dev3 ,  False  , https://github.com/MODFLOW-ORG/modflow6/archive/refs/heads/develop.zip                        , modflow6-develop         , utils/zonebudget/src    ,    True           , False        , False
libmf6dev  ,  6.7.0.dev3 ,  False  , https://github.com/MODFLOW-ORG/modflow6/archive/refs/heads/develop.zip                        , modflow6-develop         , srcbmi                  ,    True           , False        , True
